year,crd_daly_rate,pm25,ozone,household_pm,ageing_65_plus,gov_health_exp_pct_gdp,gov_health_exp_pct_gdp_observed,gov_health_exp_pct_gdp_imputed,trend,d_crd_daly_rate,d_pm25_lag0,d_ozone_lag0,d_household_pm_lag0,d_ageing_65_plus_lag0,d_gov_health_exp_pct_gdp_lag0,d_pm25_lag1,d_pm25_lag2,d_ozone_lag1,d_ozone_lag2,d_household_pm_lag1,d_household_pm_lag2,d_ageing_65_plus_lag1,d_ageing_65_plus_lag2,d_gov_health_exp_pct_gdp_lag1,d_gov_health_exp_pct_gdp_lag2
1993,2158.897741202029,43.29234525,47.41106915,268.05864295,5.72652985467844,0.13751275878681213,,True,4,-17.86153650299184,0.22433060999999554,0.1845502100000047,-5.933653750000019,0.14991190734755033,0.11163209993046053,0.22433061000000265,-0.21736736999999806,0.6957415799999964,-0.19578192999999544,-4.874652400000002,-4.012935249999998,0.12391402401400953,0.10754650918764064,0.0,0.0
1994,2137.860682259029,43.51667586,48.23936753,261.13534,5.88533298268521,0.24914485871724423,,True,5,-21.03705894299992,0.22433061000000265,0.8282983799999997,-6.923302949999993,0.15880312800676943,0.1116320999304321,0.22433060999999554,0.22433061000000265,0.1845502100000047,0.6957415799999964,-5.933653750000019,-4.874652400000002,0.14991190734755033,0.12391402401400953,0.11163209993046053,0.0
1995,2117.8216601914687,42.8576105,48.58457504,253.24506005,6.05307366965255,0.36077695864767634,,True,6,-20.03902206756038,-0.6590653599999996,0.3452075099999945,-7.890279949999979,0.16774068696734012,0.1116320999304321,0.22433061000000265,0.22433060999999554,0.8282983799999997,0.1845502100000047,-6.923302949999993,-5.933653750000019,0.15880312800676943,0.14991190734755033,0.1116320999304321,0.11163209993046053
1996,2098.603700038781,43.96533708,49.09866196,244.85884645,6.22504804870163,0.47240905857810844,,True,7,-19.217960152687738,1.1077265799999978,0.514086920000004,-8.38621360000002,0.17197437904908064,0.1116320999304321,-0.6590653599999996,0.22433061000000265,0.3452075099999945,0.8282983799999997,-7.890279949999979,-6.923302949999993,0.16774068696734012,0.15880312800676943,0.1116320999304321,0.1116320999304321
1997,2082.053780952703,44.18966769,50.05004611,236.56198505,6.4010690329891,0.5840411585085405,,True,8,-16.549919086077807,0.22433061000000265,0.9513841499999955,-8.296861399999983,0.1760209842874696,0.1116320999304321,1.1077265799999978,-0.6590653599999996,0.514086920000004,0.3452075099999945,-8.38621360000002,-7.890279949999979,0.17197437904908064,0.16774068696734012,0.1116320999304321,0.1116320999304321
1998,2079.662461871595,44.4139983,49.77316262,228.99638255000002,6.60294649523664,0.6956732584389727,,True,9,-2.391319081108122,0.22433061000000265,-0.2768834899999959,-7.565602499999983,0.20187746224754033,0.1116320999304321,0.22433061000000265,1.1077265799999978,0.9513841499999955,0.514086920000004,-8.296861399999983,-8.38621360000002,0.1760209842874696,0.17197437904908064,0.1116320999304321,0.1116320999304321
1999,2087.1313120098,44.63832891,50.8085835,221.4372464,6.8145142714138,0.8073053583694332,,True,10,7.468850138204743,0.22433060999999554,1.0354208799999967,-7.559136150000029,0.2115677761771595,0.11163209993046053,0.22433061000000265,0.22433061000000265,-0.2768834899999959,0.9513841499999955,-7.565602499999983,-8.296861399999983,0.20187746224754033,0.1760209842874696,0.1116320999304321,0.1116320999304321
2000,2119.9456393573573,45.3043575,50.23356433,213.50761195,7.01747574076251,0.97868848,0.97868848,False,11,32.81432734755754,0.6660285900000034,-0.5750191699999974,-7.9296344499999805,0.2029614693487103,0.1713831216305668,0.22433060999999554,0.22433061000000265,1.0354208799999967,-0.2768834899999959,-7.559136150000029,-7.565602499999983,0.2115677761771595,0.20187746224754033,0.11163209993046053,0.1116320999304321
2001,2135.6642209680545,45.69874986,50.55365822,205.2618509,7.21351682273765,0.96197265,0.96197265,False,12,15.718581610697129,0.39439235999999767,0.32009389000000255,-8.245761049999999,0.1960410819751397,-0.016715829999999987,0.6660285900000034,0.22433060999999554,-0.5750191699999974,1.0354208799999967,-7.9296344499999805,-7.559136150000029,0.2029614693487103,0.2115677761771595,0.1713831216305668,0.11163209993046053
2002,2135.250642929396,46.12890831,50.48001096,196.44942709999998,7.40162875834336,1.09706461,1.09706461,False,13,-0.41357803865867027,0.4301584500000004,-0.07364726000000132,-8.812423800000033,0.18811193560571038,0.13509196000000012,0.39439235999999767,0.6660285900000034,0.32009389000000255,-0.5750191699999974,-8.245761049999999,-7.9296344499999805,0.1960410819751397,0.2029614693487103,-0.016715829999999987,0.1713831216305668
2003,2132.8805394052715,45.739747,51.51077796,187.15079020000002,7.57962663220469,1.23556411,1.23556411,False,14,-2.3701035241242607,-0.38916130999999865,1.0307669999999973,-9.298636899999963,0.17799787386132948,0.1384995,0.4301584500000004,0.39439235999999767,-0.07364726000000132,0.32009389000000255,-8.812423800000033,-8.245761049999999,0.18811193560571038,0.1960410819751397,0.13509196000000012,-0.016715829999999987
2004,2115.772618734161,45.2550278,53.06225032,176.98713455,7.73725110121901,1.27916729,1.27916729,False,15,-17.107920671110605,-0.4847192000000007,1.5514723599999982,-10.16365565000001,0.15762446901432003,0.04360317999999985,-0.38916130999999865,0.4301584500000004,1.0307669999999973,-0.07364726000000132,-9.298636899999963,-8.812423800000033,0.17799787386132948,0.18811193560571038,0.1384995,0.13509196000000012
2005,2026.03954563484,46.13285605,53.61220337,165.76795744999998,7.88962840533466,1.34709895,1.34709895,False,16,-89.73307309932102,0.8778282500000003,0.5499530500000063,-11.219177100000024,0.15237730411565042,0.06793165999999995,-0.4847192000000007,-0.38916130999999865,1.5514723599999982,1.0307669999999973,-10.16365565000001,-9.298636899999963,0.15762446901432003,0.17799787386132948,0.04360317999999985,0.1384995
2006,1875.333375603967,49.9470246,56.00917059,153.5537215,8.05386346846253,1.36572993,1.36572993,False,17,-150.70617003087295,3.814168549999998,2.3969672199999934,-12.214235949999988,0.16423506312787062,0.018630980000000186,0.8778282500000003,-0.4847192000000007,0.5499530500000063,1.5514723599999982,-11.219177100000024,-10.16365565000001,0.15237730411565042,0.15762446901432003,0.06793165999999995,0.04360317999999985
2007,1766.3755364110648,51.67347278,56.86307009,140.56487875,8.21258625792709,1.41172099,1.41172099,False,18,-108.95783919290216,1.7264481799999984,0.8538995000000043,-12.988842750000003,0.15872278946455864,0.04599105999999997,3.814168549999998,0.8778282500000003,2.3969672199999934,0.5499530500000063,-12.214235949999988,-11.219177100000024,0.16423506312787062,0.15237730411565042,0.018630980000000186,0.06793165999999995
2008,1677.837574316329,51.08823847,58.30341055,128.55802169999998,8.35535290441098,1.70800281,1.70800281,False,19,-88.5379620947358,-0.585234309999997,1.4403404600000016,-12.006857050000008,0.14276664648389037,0.2962818199999999,1.7264481799999984,3.814168549999998,0.8538995000000043,2.3969672199999934,-12.988842750000003,-12.214235949999988,0.15872278946455864,0.16423506312787062,0.04599105999999997,0.018630980000000186
2009,1591.0456656980512,49.94222052,56.45398266,117.06799634000001,8.49817888668038,2.1124301,2.1124301,False,20,-86.79190861827783,-1.146017950000001,-1.8494278900000012,-11.490025359999976,0.14282598226940024,0.4044272900000001,-0.585234309999997,1.7264481799999984,1.4403404600000016,0.8538995000000043,-12.006857050000008,-12.988842750000003,0.14276664648389037,0.15872278946455864,0.2962818199999999,0.04599105999999997
2010,1499.4010351658596,48.95040086,55.71923087,105.40485154000001,8.66147143784386,2.15837073,2.15837073,False,21,-91.64463053219151,-0.9918196599999973,-0.7347517900000042,-11.663144799999998,0.16329255116347952,0.04594063000000004,-1.146017950000001,-0.585234309999997,-1.8494278900000012,1.4403404600000016,-11.490025359999976,-12.006857050000008,0.14282598226940024,0.14276664648389037,0.4044272900000001,0.2962818199999999
2011,1405.8903494082294,52.72722981,53.80503626,94.67007748500001,8.85916872860311,2.29242587,2.29242587,False,22,-93.5106857576302,3.776828949999995,-1.9141946099999956,-10.734774055000003,0.19769729075925113,0.13405514000000007,-0.9918196599999973,-1.146017950000001,-0.7347517900000042,-1.8494278900000012,-11.663144799999998,-11.490025359999976,0.16329255116347952,0.14282598226940024,0.04594063000000004,0.4044272900000001
2012,1314.9502658511533,48.65782076,51.50270089,85.010182265,9.08920186808881,2.50277305,2.50277305,False,23,-90.94008355707615,-4.069409049999997,-2.3023353700000015,-9.65989522000001,0.23003313948570003,0.21034717999999986,3.776828949999995,-0.9918196599999973,-1.9141946099999956,-0.7347517900000042,-10.734774055000003,-11.663144799999998,0.19769729075925113,0.16329255116347952,0.13405514000000007,0.04594063000000004
2013,1239.510106267608,51.74978095,49.48866891,76.38434694,9.3562686156071,2.64646387,2.64646387,False,24,-75.44015958354521,3.0919601900000018,-2.0140319799999986,-8.625835324999997,0.26706674751828885,0.14369081999999977,-4.069409049999997,3.776828949999995,-2.3023353700000015,-1.9141946099999956,-9.65989522000001,-10.734774055000003,0.23003313948570003,0.19769729075925113,0.21034717999999986,0.13405514000000007
2014,1175.2318653161792,52.50965721,48.64973066,68.753777165,9.6661987378912,2.74482822,2.74482822,False,25,-64.27824095142887,0.7598762599999986,-0.8389382499999982,-7.630569774999998,0.30993012228410066,0.09836435000000021,3.0919601900000018,-4.069409049999997,-2.0140319799999986,-2.3023353700000015,-8.625835324999997,-9.65989522000001,0.26706674751828885,0.23003313948570003,0.14369081999999977,0.21034717999999986
2015,1122.0450932129506,49.47322164,49.88906612,61.97873771,10.053420914992,2.92099118,2.92099118,False,26,-53.18677210322858,-3.036435570000002,1.2393354599999995,-6.775039455000005,0.3872221771007993,0.1761629600000001,0.7598762599999986,3.0919601900000018,-0.8389382499999982,-2.0140319799999986,-7.630569774999998,-8.625835324999997,0.30993012228410066,0.26706674751828885,0.09836435000000021,0.14369081999999977
2016,1088.2587371851885,45.28060859,52.24545127,55.96745789,10.4907994645602,2.83731437,2.83731437,False,27,-33.78635602776217,-4.1926130499999985,2.356385149999994,-6.011279819999999,0.43737854956819966,-0.08367681000000005,-3.036435570000002,0.7598762599999986,1.2393354599999995,-0.8389382499999982,-6.775039455000005,-7.630569774999998,0.3872221771007993,0.30993012228410066,0.1761629600000001,0.09836435000000021
2017,1053.947622251615,43.09110188,53.57135369,50.536051895,10.9809606634325,2.81638408,2.81638408,False,28,-34.311114933573435,-2.1895067100000034,1.3259024200000056,-5.431405994999999,0.4901611988723005,-0.020930289999999907,-4.1926130499999985,-3.036435570000002,2.356385149999994,1.2393354599999995,-6.011279819999999,-6.775039455000005,0.43737854956819966,0.3872221771007993,-0.08367681000000005,0.1761629600000001
2018,1014.4746250446282,38.5057527,49.43532388,45.774562149999994,11.5162092042497,2.85993624,2.85993624,False,29,-39.47299720698686,-4.585349179999994,-4.136029810000004,-4.761489745000006,0.5352485408172001,0.04355215999999995,-2.1895067100000034,-4.1926130499999985,1.3259024200000056,2.356385149999994,-5.431405994999999,-6.011279819999999,0.4901611988723005,0.43737854956819966,-0.020930289999999907,-0.08367681000000005
2019,976.469126253072,37.20244673,48.92596747,41.553789025,12.0613659717192,2.94739079,2.94739079,False,30,-38.00549879155619,-1.3033059700000038,-0.5093564099999952,-4.220773124999994,0.5451567674694999,0.08745454999999991,-4.585349179999994,-2.1895067100000034,-4.136029810000004,1.3259024200000056,-4.761489745000006,-5.431405994999999,0.5352485408172001,0.4901611988723005,0.04355215999999995,-0.020930289999999907
2020,904.198108756008,33.69070478,48.42831278,38.174159089999996,12.6452376078587,3.01223373,3.01223373,False,31,-72.27101749706401,-3.511741950000001,-0.4976546900000045,-3.379629935000004,0.5838716361395004,0.06484294000000013,-1.3033059700000038,-4.585349179999994,-0.5093564099999952,-4.136029810000004,-4.220773124999994,-4.761489745000006,0.5451567674694999,0.5352485408172001,0.08745454999999991,0.04355215999999995
