outer_test_year,candidate_path,inner_selection_metric,inner_cv_score,inner_n_forecasts,inner_mean_n_selected
1993,elastic_net,mae,23.131920048028988,27,8.296296296296296
1993,backward_elimination,mae,22.855873957308045,27,3.074074074074074
1993,random_forest,mae,22.98422386371971,27,5.0
1993,vif_filtering,mae,29.041432654298223,27,8.0
1994,elastic_net,mae,26.21464301420581,27,8.11111111111111
1994,backward_elimination,mae,24.66583913613036,27,3.962962962962963
1994,random_forest,mae,23.78287366111808,27,5.0
1994,vif_filtering,mae,28.91910082651452,27,8.0
1995,elastic_net,mae,28.57354343368117,27,8.296296296296296
1995,backward_elimination,mae,26.04608788630526,27,4.037037037037037
1995,random_forest,mae,23.63804750881521,27,5.0
1995,vif_filtering,mae,29.832174000982977,27,8.0
1996,elastic_net,mae,27.273978192992946,27,8.592592592592593
1996,backward_elimination,mae,26.01523430447603,27,4.037037037037037
1996,random_forest,mae,23.625913075416996,27,5.0
1996,vif_filtering,mae,30.994365060489802,27,8.0
1997,elastic_net,mae,27.09807977422362,27,8.925925925925926
1997,backward_elimination,mae,24.298658065075315,27,4.0
1997,random_forest,mae,23.538981459669817,27,5.0
1997,vif_filtering,mae,30.646075619400975,27,8.0
1998,elastic_net,mae,27.92562198049715,27,8.444444444444445
1998,backward_elimination,mae,24.444660494991517,27,4.0
1998,random_forest,mae,23.729344160463867,27,5.0
1998,vif_filtering,mae,29.61820210817789,27,8.0
1999,elastic_net,mae,27.692610799995165,27,8.777777777777779
1999,backward_elimination,mae,24.197592370881654,27,4.0
1999,random_forest,mae,23.620760006976102,27,5.0
1999,vif_filtering,mae,29.285090388118054,27,8.0
2000,elastic_net,mae,22.801118505558087,27,8.62962962962963
2000,backward_elimination,mae,23.549867096069327,27,4.037037037037037
2000,random_forest,mae,21.21146743643983,27,5.0
2000,vif_filtering,mae,28.520675903214947,27,8.0
2001,elastic_net,mae,26.287599487830406,27,8.925925925925926
2001,backward_elimination,mae,22.020312755292064,27,4.0
2001,random_forest,mae,20.31161113184527,27,5.0
2001,vif_filtering,mae,29.18390158780228,27,8.0
2002,elastic_net,mae,26.0485488223891,27,8.62962962962963
2002,backward_elimination,mae,22.59184642678193,27,4.0
2002,random_forest,mae,21.82225398902564,27,5.0
2002,vif_filtering,mae,29.93510336491615,27,8.0
2003,elastic_net,mae,21.59337049456149,27,8.62962962962963
2003,backward_elimination,mae,21.964867218334348,27,5.0
2003,random_forest,mae,21.112024323343206,27,5.0
2003,vif_filtering,mae,29.13945405312998,27,8.0
2004,elastic_net,mae,26.42598706979957,27,9.296296296296296
2004,backward_elimination,mae,22.35156343034167,27,4.0
2004,random_forest,mae,21.748405888245568,27,5.0
2004,vif_filtering,mae,29.413498938870116,27,8.0
2005,elastic_net,mae,23.227805381766828,27,7.0
2005,backward_elimination,mae,24.22611308814967,27,4.0
2005,random_forest,mae,23.569989953121485,27,5.0
2005,vif_filtering,mae,29.139041936329047,27,8.0
2006,elastic_net,mae,23.541957470762217,27,8.703703703703704
2006,backward_elimination,mae,21.744562500312437,27,3.888888888888889
2006,random_forest,mae,20.52841037085393,27,5.0
2006,vif_filtering,mae,27.29518819529019,27,8.0
2007,elastic_net,mae,27.248525944723177,27,8.88888888888889
2007,backward_elimination,mae,26.42178650562816,27,3.962962962962963
2007,random_forest,mae,23.229403302261247,27,5.0
2007,vif_filtering,mae,31.47979698364816,27,8.0
2008,elastic_net,mae,27.552077337456947,27,8.11111111111111
2008,backward_elimination,mae,26.07879282276881,27,4.0
2008,random_forest,mae,22.951101615207584,27,5.0
2008,vif_filtering,mae,32.22984598724258,27,8.0
2009,elastic_net,mae,23.968508180915517,27,7.185185185185185
2009,backward_elimination,mae,23.124790166089557,27,3.962962962962963
2009,random_forest,mae,22.940433771553128,27,5.0
2009,vif_filtering,mae,32.281900108538906,27,8.0
2010,elastic_net,mae,25.818384762032245,27,6.777777777777778
2010,backward_elimination,mae,24.263222901789725,27,4.0
2010,random_forest,mae,23.710252951377395,27,5.0
2010,vif_filtering,mae,31.37872271009255,27,8.0
2011,elastic_net,mae,25.443629460953364,27,4.407407407407407
2011,backward_elimination,mae,23.374100697263636,27,3.962962962962963
2011,random_forest,mae,23.29407362346758,27,5.0
2011,vif_filtering,mae,30.357716758450774,27,8.0
2012,elastic_net,mae,25.285044250314506,27,2.962962962962963
2012,backward_elimination,mae,23.583678815932604,27,4.0
2012,random_forest,mae,22.379383465909328,27,5.0
2012,vif_filtering,mae,31.993539352031494,27,8.0
2013,elastic_net,mae,25.190062022492217,27,5.333333333333333
2013,backward_elimination,mae,25.120638868682885,27,4.111111111111111
2013,random_forest,mae,23.84798593651527,27,5.0
2013,vif_filtering,mae,33.55970752051405,27,8.0
2014,elastic_net,mae,23.650224652456945,27,6.2592592592592595
2014,backward_elimination,mae,28.405692779345458,27,4.37037037037037
2014,random_forest,mae,23.558249819615597,27,5.0
2014,vif_filtering,mae,29.241895920872206,27,8.0
2015,elastic_net,mae,23.691020782696814,27,6.7407407407407405
2015,backward_elimination,mae,25.88214555130158,27,4.037037037037037
2015,random_forest,mae,23.759950903237883,27,5.0
2015,vif_filtering,mae,29.28535412683147,27,8.0
2016,elastic_net,mae,22.69365996711568,27,6.148148148148148
2016,backward_elimination,mae,23.795207548728083,27,4.0
2016,random_forest,mae,23.857841239905788,27,5.0
2016,vif_filtering,mae,31.799106787450842,27,8.0
2017,elastic_net,mae,22.785620187644955,27,6.407407407407407
2017,backward_elimination,mae,24.032649241787706,27,4.0
2017,random_forest,mae,23.159231343043782,27,5.0
2017,vif_filtering,mae,30.548736713904393,27,8.0
2018,elastic_net,mae,22.614842701015302,27,5.962962962962963
2018,backward_elimination,mae,26.32753009126504,27,4.185185185185185
2018,random_forest,mae,23.873056913304776,27,5.0
2018,vif_filtering,mae,30.340077541230542,27,8.0
2019,elastic_net,mae,24.645661655351912,27,6.37037037037037
2019,backward_elimination,mae,25.931295824082692,27,4.037037037037037
2019,random_forest,mae,24.00368889209881,27,5.0
2019,vif_filtering,mae,30.128640933252747,27,8.0
2020,elastic_net,mae,22.508302553998856,27,6.592592592592593
2020,backward_elimination,mae,25.223762533427557,27,4.074074074074074
2020,random_forest,mae,22.231521187672936,27,5.0
2020,vif_filtering,mae,27.563318995595885,27,8.0
